"ISO3","word","n","total","tf","idf","tf_idf","ISO2","Country"
"ZAF","peaceful",3,1054,0.00284629981024668,0.672738308928738,0.00191481492104954,"ZA","South Africa"
"ZAF","principles",3,1054,0.00284629981024668,0.522926030700078,0.00148840426195468,"ZA","South Africa"
"ZAF","resolve",3,1054,0.00284629981024668,1.27887411249905,0.00364005914373545,"ZA","South Africa"
"ZAF","resources",3,1054,0.00284629981024668,0.497173534597663,0.001415104937185,"ZA","South Africa"
"ZAF","rights",3,1054,0.00284629981024668,0.263911853117869,0.00075117225745124,"ZA","South Africa"
"ZAF","secretary",3,1054,0.00284629981024668,0.218002151813791,0.000620499483340961,"ZA","South Africa"
"ZAF","shared",3,1054,0.00284629981024668,0.861138911799075,0.00245105952124974,"ZA","South Africa"
"ZAF","solidarity",3,1054,0.00284629981024668,0.270645885299213,0.000770339331971195,"ZA","South Africa"
"ZAF","suffering",3,1054,0.00284629981024668,0.911149332373736,0.00259340417184175,"ZA","South Africa"
"ZAF","vulnerable",3,1054,0.00284629981024668,0.682890680392756,0.00194371161402113,"ZA","South Africa"
"BRA","10",2,1130,0.00176991150442478,1.46119566929301,0.00258618702529736,"BR","Brazil"
"BRA","2030",2,1130,0.00176991150442478,0.377509030841574,0.000668157576710751,"BR","Brazil"
"BRA","achieving",2,1130,0.00176991150442478,0.911149332373736,0.00161265368561723,"BR","Brazil"
"BRA","action",2,1130,0.00176991150442478,0.312031101462067,0.000552267436216048,"BR","Brazil"
"BRA","actions",2,1130,0.00176991150442478,0.713981267462787,0.00126368365922617,"BR","Brazil"
"BRA","address",2,1130,0.00176991150442478,0.114566564565549,0.00020277268064699,"BR","Brazil"
"BRA","advocate",2,1130,0.00176991150442478,2.00976162104185,0.00355710021423336,"BR","Brazil"
"BRA","affected",2,1130,0.00176991150442478,1.24250646832818,0.00219912649261625,"BR","Brazil"
"BRA","behalf",2,1130,0.00176991150442478,0.277425572284592,0.000491018712008127,"BR","Brazil"
"BRA","born",2,1130,0.00176991150442478,2.08980432871538,0.00369876872339006,"BR","Brazil"
"BRA","building",2,1130,0.00176991150442478,0.623467259921956,0.00110348187596806,"BR","Brazil"
"BRA","chair",2,1130,0.00176991150442478,2.22333572133991,0.00393510747139806,"BR","Brazil"
"BRA","challenge",2,1130,0.00176991150442478,0.873409004390889,0.00154585664493963,"BR","Brazil"
"BRA","child",2,1130,0.00176991150442478,2.32341917989689,0.00411224633610069,"BR","Brazil"
"BRA","collective",2,1130,0.00176991150442478,0.595029324601422,0.00105314924708216,"BR","Brazil"
"BRA","community",2,1130,0.00176991150442478,0.21161235371502,0.00037453513931862,"BR","Brazil"
"BRA","confidence",2,1130,0.00176991150442478,1.57897870494939,0.00279465257513167,"BR","Brazil"
"BRA","continue",2,1130,0.00176991150442478,0.21161235371502,0.00037453513931862,"BR","Brazil"
"BRA","contributions",2,1130,0.00176991150442478,1.90056232907685,0.00336382713110948,"BR","Brazil"
"BRA","core",2,1130,0.00176991150442478,1.68433922060722,0.00298113136390658,"BR","Brazil"
"BRA","creation",2,1130,0.00176991150442478,1.48366852514507,0.0026259619914072,"BR","Brazil"
